proteinA;proteinB
P09798;P09798
P38717;P06782
P07342;P25605
P15790;P38930
P22035;P07269
P33418;P50278
P14922;P27705
P05453;P05453
P12385;P05453
P19262;P09624
P19262;P20967
P31688;Q00764
P38427;Q00764
P38427;P31688
P53886;P09798
P14724;P09798
P53886;P53886
P16522;P09798
P38042;P09798
P16522;P16522
P38042;P16522
P00937;P00899
Q04199;P13712
Q12495;P13712
Q12495;Q04199
P46677;P13393
P13393;P23255
P38995;P38636
P46678;P13393
P46678;P29056
P13393;P29056
P02309;P06701
P02309;P11978
P11978;P06701
P11938;P06701
P06701;P02293
P06701;P06701
P11978;P11938
P11978;P06700
Q07468;P38959
P14747;P25296
P07278;P05986
P25302;P09959
P24869;P25302
P29295;P09959
P38930;P38930
P53378;P53540
P38863;P53378
P53540;P38863
P53540;P32380
P32380;P38863
P07149;P19097
P33304;P32468
Q04921;Q04921
P32524;Q07350
Q07350;P19736
P19736;P19736
P32524;P19736
P43639;P15790
P16649;P14922
P38042;P38042
P43639;P43639
P14306;P40368
P36517;Q00916
P47093;P38999
Q12186;Q02875
P32524;P38167
P40567;P31244
P40567;P32606
P40567;P38883
P40070;P47093
P19736;Q04052
P22035;P40567
P42073;P40020
P32578;P06782
P22543;P22219
P11978;P11978
P15646;P33750
P26309;P40957
P26309;P40958
P18851;P18852
P18851;P08539
P20433;P34087
P20676;Q02821
P13902;P26798
Q01649;P17119
P07270;P07269
P06787;P32380
P39520;P32605
P32605;Q06205
P53863;P32605
O13329;Q00916
P39723;Q00916
P25607;Q00916
Q00916;P43611
P42937;Q00916
Q00916;Q07938
Q00916;Q05790
Q03677;Q00916
Q00916;Q04213
Q01722;Q00916
P32361;Q00916
P28742;Q00916
P35191;Q00916
Q00916;P08964
P12689;Q00916
P22579;Q00916
Q00916;P09547
Q00916;P33315
Q00916;P32639
Q00916;P14922
P21560;Q00916
Q00916;P32828
Q02554;P32639
Q02554;P09547
Q99181;Q02554
Q02554;P39102
P27705;Q02554
Q02554;P14922
P53236;Q99181
Q99181;P47093
P25644;P47093
P39081;P47093
P47093;P39998
P53147;P47093
P38768;P47093
P47093;P48240
P47093;P53742
Q12186;P24384
Q12186;P09547
P27351;Q12186
Q12186;Q12510
Q12186;P40467
Q12186;Q04746
P39682;Q12186
P32909;Q12186
P36084;P32909
P36084;Q02875
P36084;Q12186
P39682;P36084
P36084;P27705
P36084;P09547
Q07350;P21560
Q07350;P46958
Q07350;P32843
P39935;Q07350
P38267;Q07350
Q07350;Q03899
Q07350;Q04195
Q07350;P40071
Q07350;P36056
Q07350;Q12431
P53971;Q07350
P53742;Q07350
P53742;P32524
P32524;Q12471
P11075;P32524
P32524;P25648
P32524;P36166
Q03264;P32524
Q12411;P32524
P32522;P32524
Q02260;P33418
Q02260;P17121
Q02775;Q02260
P38227;Q02260
Q02260;P53090
Q02260;P47104
P34230;Q02260
Q02260;Q12745
P32468;P43321
P43321;P38927
Q00416;P43321
P43321;P23201
P43321;P40018
P31244;P43321
P43321;P53339
P38699;P43321
P43321;Q04301
P53742;P40018
P32578;P40018
P40018;P47818
P40018;P53873
P19736;P25588
P19736;Q04693
Q12433;P19736
P19736;Q08562
Q12080;P19736
P32828;P19736
P53742;P19736
P32606;P19736
P19736;Q01846
P19736;P50105
P38111;P40567
P40567;P53615
P12954;P40567
Q00578;P40567
P40567;P09547
Q03441;P40567
Q04005;P40567
P40567;P38811
P40567;P53935
P40020;Q06199
Q06199;P40460
P32769;Q06199
Q06199;P53742
P32499;Q02821
Q07350;Q04002
P36048;P40567
P34077;P14306
P12904;P06782
P47093;P38203
P53952;P47093
P48837;P14306
Q00916;Q12033
P38892;Q99181
P43321;Q02046
P14306;Q02199
P47093;P38769
Q08491;P47093
P18900;P47093
P22147;P47093
P47093;P53550
Q04477;Q07350
Q03497;P32524
P19736;Q03388
P40567;P32522
P40567;Q06199
O13329;P32605
Q04149;Q07350
P40567;P07866
Q02336;P07248
P32629;P50108
P14724;P38042
Q12157;P53886
Q03048;P46680
P35197;P39010
P48360;P40576
Q08484;P39110
P53091;P32354
P46985;P47124
P35189;P41895
Q12018;P53061
P25630;P06243
P43592;P46671
P11938;P29539
P32917;P23561
P06784;P32917
P25344;P23561
P24719;Q06891
Q01852;P38523
P18851;P32917
P06782;P46954
P21182;P21182
P15891;P39743
P17555;P15891
Q03497;P29366
P32599;Q12446
P13517;Q12446
Q12446;Q03048
Q12446;P32790
Q12446;P29366
P07274;P41832
P40450;P07274
Q00246;P40450
P17555;P17555
P06100;Q02336
Q02336;P32494
P13393;P32494
Q02336;Q03330
P50875;P32494
P33200;P32494
P03069;Q02336
Q02336;P13393
P04387;P04386
P04386;P13393
Q02336;P04386
P03069;P34162
P47822;P03069
P32494;P03069
Q05027;P03069
P53040;P03069
P38129;P03069
Q02336;P38129
P32494;Q05027
P53040;P32494
P32494;P38129
P46677;Q05027
P46677;P38129
P38811;Q02336
P35177;P38811
P32494;P35177
P38811;P32494
P07248;P38129
P13393;P07248
P07248;P46677
P53040;P07248
P07248;Q12030
Q12060;Q12060
Q12060;Q02336
Q12060;P32494
P50875;Q12060
Q03330;Q12060
P07248;Q03330
P07248;P29055
P13574;P11746
P23642;P39107
P38042;Q12440
P09798;Q12440
Q12440;P16522
P25454;P06778
P25454;P32863
P32349;P32910
P25441;P36121
P07703;P28000
P20434;P10964
P20434;P04050
P04051;P20434
P28000;P22138
P16370;P28000
P04050;P27999
P04051;P27999
P22276;Q04307
P39107;P32629
P22138;P40422
P22139;P04050
P22139;P08518
P29056;P33339
P22138;P32529
P16370;P38902
P22138;P22139
P16522;P14724
P32523;Q03654
Q08920;Q02821
Q08683;P09798
P09798;P53068
P09798;Q12107
Q12157;P09798
P53886;P53068
P53886;P16522
P53886;P14724
P53886;P38042
Q08683;P53886
Q04601;P53886
Q12107;Q12440
Q12440;P53068
P53068;P16522
P16522;Q12107
P16522;Q12157
Q08683;P16522
P53068;P38042
Q12157;P38042
P38042;Q08683
P38042;Q04601
P32830;P87108
P39010;P18852
P06783;P39010
P39010;P18851
P32917;P39010
P35189;Q06697
P35189;P38351
P04050;P35189
P35189;P22082
P35189;P41896
P08524;P08524
P21264;P21264
P10862;P21264
P21264;P25365
P38275;P21264
P38972;Q06708
Q12343;P04161
P38633;P04161
P04161;P25337
P25649;Q12433
P46680;Q12107
Q08269;P32502
P40356;Q08269
Q08269;P53190
P48232;Q08269
P38316;P40344
Q06628;P53104
Q06628;P32379
Q06628;P53271
Q12380;P38316
P38862;P38316
P40344;P38862
P38862;P38182
Q00776;P36000
P36000;P38700
P25655;P48360
P38696;Q04549
Q12233;P36068
P39011;P53012
P40448;P39011
Q12110;P39011
Q06150;P34730
P34730;P38195
P40087;P26448
P26448;P38785
P26448;P48238
P07260;P12962
P00812;P00812
P07991;P18888
P07991;Q06178
P29703;P18898
P06243;Q12018
P52286;Q12018
Q12018;Q12395
Q05930;Q12018
P31111;Q12018
P06243;P39517
P07250;P06243
P06243;P25620
P06243;P39992
P43625;P06243
P53740;P06243
